Mine,Date,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties to be applied,DWT,Specific Index,General Index,Exporting Port,Handysize,Supramax loading rates,Panamax loading rates,NeoPanamax loading rate,Suezmax loading rate,Capesize loading rates,VLOC loading rates,Spare,model_id
Other Ghana,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Other Ghana wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Delphi-Distomon,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Delphi-Distomon wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Parnasse,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Parnasse wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
SMB-WAP,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,SMB-WAP wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
Chalco Boffa,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Chalco Boffa wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
CBG,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,CBG wharf,60000.0,60000.0,60000.0,30000.0,30000.0,30000.0,30000.0,,model_9
CBK Kindia,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,CBK Kindia wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
GAC,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,GAC wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
Alufer (Bel Air),2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Alufer (Bel Air) wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
AMC,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,AMC wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
Fria Kimbo,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Fria Kimbo wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Dian Dian,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Dian Dian wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
AMR,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,AMR wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
Henan-Chine,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Henan-Chine wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
Rundi,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Rundi wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
Dabiss N,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Dabiss N wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
Aroaima,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Aroaima wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Kurubuka,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Kurubuka wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Guyana Others,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Guyana Others wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Bakony,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Bakony wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Chhattisgarh,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Chhattisgarh wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Goa,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Goa wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Gujarat & Maharashtra,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Gujarat & Maharashtra wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Jharkhand,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Jharkhand wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Karnataka,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Karnataka wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Madhya Pradesh,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Madhya Pradesh wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
