,,Bx origin Prov,Bx Origin Cty,Refiney No.,Refiney Name,Refiney Prov,Allocation,Self Supply,Factored up allocation
,101,Henan,Yichuan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,102,Henan,Yiyang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,103,Henan,Yuzhou,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,104,Henan,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,105,Hubei,Yicheng,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,106,Hubei,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,107,Hunan,Chenxi,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,108,Hunan,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,109,Inner Mongolia,Qingshuihe,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,110,Inner Mongolia,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,111,Jiangxi,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,112,Liaoning,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,113,Shandong,Tai'an,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,114,Shandong,Zhangqiu,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,115,Shandong,Zouwu,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,116,Shandong,Zibo,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,117,Shandong,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,118,Shaanxi,Chencheng,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,119,Shaanxi,Pucheng,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,120,Shaanxi,Fugu,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,121,Shaanxi,Hancheng,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,122,Shaanxi,Tongchuan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,123,Shaanxi,Xixiang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,124,Shaanxi,Zhenba,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,125,Shaanxi,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,126,Shanxi,Baode,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,127,Shanxi,Fangshan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,128,Shanxi,Fenxi,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,129,Shanxi,Fenyang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,130,Shanxi,Gujiao,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,131,Shanxi,Gu,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,132,Shanxi,Hequ,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,133,Shanxi,Heshun,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,134,Shanxi,Huairen,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,135,Shanxi,Huozhou,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,136,Shanxi,Jiaokou,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,137,Shanxi,Jiexiu,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,138,Shanxi,Jingle,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,139,Shanxi,Jincheng,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,140,Shanxi,Lin,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,141,Shanxi,Lingshi,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,142,Shanxi,Liulin,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,143,Shanxi,Lvliang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,144,Shanxi,Loufan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,145,Shanxi,Yingze,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,146,Shanxi,Yu,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,147,Shanxi,Ningwu,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,148,Shanxi,Pinglu,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,149,Shanxi,Qinyuan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,150,Shanxi,Shenchi,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,151,Shanxi,Shuozhou,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,152,Shanxi,Wutai,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,153,Shanxi,Wuxiang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,154,Shanxi,Xia,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,155,Shanxi,Xiangyuan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,156,Shanxi,Xiaoyi,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,157,Shanxi,Xing,1.2,Bosai Xianfeng import,Chongqing,0,0,0
