,province,refinery,drawdowntechfactorinputs1_id,factorx,Bauxite Consumption,bayerconstant
264,Guizhou,Nanshan Donghai L-B,307.0,2.0,0.1,1.0
265,Guizhou,Bochuang,312.0,2.0,0.1,1.0
266,Guizhou,Nanhan,317.0,2.0,0.1,1.0
267,Guizhou,Weiqiao - Binzhou L-B,322.0,2.0,0.1,1.0
268,Guizhou,Weiqiao - Binzhou H-B,327.0,2.0,0.1,1.0
269,Guizhou,Weiqiao-Wudi-Zhanhua L-B,332.0,2.0,0.1,1.0
270,Guizhou,Weiqiao-Wudi-Zhanhua H-B,337.0,2.0,0.1,1.0
271,Guizhou,Aokaida,342.0,2.0,0.1,1.23
272,Guizhou,Chalco Shanxi,352.0,2.0,0.1,1.23
273,Guizhou,Chalco Shanxi import,357.0,2.0,0.1,1.0
274,Guizhou,SPIC Shanxi,362.0,2.0,0.1,1.23
275,Guizhou,SPIC Shanxi import,367.0,2.0,0.1,1.0
276,Guizhou,Dongxu Tianyuan,372.0,2.0,0.1,1.23
277,Guizhou,Dongxu Tianyuan import,377.0,2.0,0.1,1.0
278,Guizhou,East Hope Lingshi,382.0,2.0,0.1,1.23
279,Guizhou,East Hope Lingshi Import,387.0,3.0,0.1,1.0
280,Guizhou,Huaqing,392.0,2.0,0.1,1.23
281,Guizhou,Qiangjin Aluminium,397.0,2.0,0.1,1.23
282,Guizhou,Senze,402.0,2.0,0.1,1.23
283,Guizhou,Taixing,407.0,2.0,0.1,1.23
284,Guizhou,Wusheng,412.0,2.0,0.1,1.23
285,Guizhou,Xinfa - Jiaokou,417.0,2.0,0.1,1.23
286,Guizhou,Xinfa - Xiaoyi,422.0,2.0,0.1,1.23
287,Guizhou,Xingan Chemical,427.0,2.0,0.1,1.23
288,Guizhou,Huayin,37.0,2.0,0.1,1.23
289,Guizhou,Xingan Chemical import,432.0,2.0,0.1,1.0
290,Guizhou,Yangquan Zhaofeng,437.0,2.0,0.1,1.23
291,Guizhou,Gangyuan Jiaohua,442.0,2.0,0.1,1.23
292,Guizhou,Tiantong,457.0,2.0,0.1,1.23
293,Guizhou,Fusheng,462.0,2.0,0.1,1.23
294,Guizhou,YMG - Wenshan,467.0,2.0,0.1,1.23
295,Guizhou,Guangxi - blending,472.0,2.0,0.1,1.0
296,Guizhou,Guizhou - blending,477.0,2.0,0.1,1.0
297,Henan,Bosai Xianfeng domestic,3.0,1.0,0.1,1.23
298,Henan,Jinjiang Tiandong,43.0,1.0,0.1,1.23
299,Henan,Henan - blending,483.0,2.0,0.1,1.0
300,Henan,Shanxi - blending,488.0,2.0,0.1,1.0
301,Henan,Other - blending,493.0,2.0,0.1,1.0
302,Henan,Xinfa Jingxi,48.0,1.0,0.1,1.23
303,Henan,Chalco Huaxing,348.0,1.0,0.1,1.23
304,Henan,Tiangui,58.0,1.0,0.1,1.23
305,Henan,Jinjiang Longzhou,33.0,1.0,0.1,1.23
306,Henan,Huasheng,53.0,2.0,0.1,1.0
307,Henan,Chalco Xinghua,448.0,1.0,0.1,1.23
308,Henan,Chalco Xinghua import,453.0,1.0,0.1,1.0
309,Henan,Chalco Guizhou,63.0,1.0,0.1,1.23
310,Henan,Chalco Zunyi,68.0,1.0,0.1,1.23
311,Henan,Xian,73.0,1.0,0.1,1.23
312,Henan,Huafei,78.0,1.0,0.1,1.23
313,Henan,Bosai Xianfeng import,8.0,2.0,0.1,1.0
314,Henan,Qingzhen Guanglv,83.0,1.0,0.1,1.23
315,Henan,Qizheng Chemical,88.0,1.0,0.1,1.23
316,Henan,Qizheng Chemical Added LT,93.0,1.0,0.1,1.0
317,Henan,SPIC - Wuchuan,98.0,1.0,0.1,1.23
318,Henan,Kaisheng,103.0,1.0,0.1,1.23
319,Henan,Huajin,108.0,1.0,0.1,1.23
320,Henan,Chalco Zhengzhou domestic,113.0,1.0,0.1,1.23
321,Henan,Chalco Zhengzhou import,118.0,2.0,0.1,1.0
322,Henan,Chalco Zhongzhou Dom. Sinter,123.0,1.0,0.1,1.23
323,Henan,Chalco Zhongzhou Dom. Bayer,128.0,2.0,0.1,1.23
324,Henan,Bosai Wanzhou,13.0,1.0,0.1,1.0
325,Henan,Chalco Zhongzhou LT Amt,133.0,2.0,0.1,1.0
326,Henan,Kaiman,138.0,1.0,0.1,1.23
327,Henan,Kaiman Import,143.0,1.0,0.1,1.0
328,Henan,East Hope Mianchi,148.0,1.0,0.1,1.23
329,Henan,East Hope Mianchi Added LT,153.0,1.0,0.1,1.0
330,Henan,Huiyuan Lushan,158.0,1.0,0.1,1.23
331,Henan,Jingxin,163.0,1.0,0.1,1.23
332,Henan,Shenhuo,168.0,1.0,0.1,1.23
333,Henan,Wanji,173.0,3.0,0.1,1.23
334,Henan,Wanji import,178.0,1.0,0.1,1.0
335,Henan,Shuijiang,18.0,1.0,0.1,1.23
336,Henan,Weilai,183.0,1.0,0.1,1.23
337,Henan,Yifeng Gongyi (Yulian Xinya),188.0,1.0,0.1,1.23
338,Henan,Yima Yixiang,193.0,1.0,0.1,1.23
339,Henan,Zhongmei,198.0,1.0,0.1,1.23
340,Henan,Shaoxing,203.0,1.0,0.1,1.23
341,Henan,Zhongchao,208.0,1.0,0.1,1.23
342,Henan,Jialu Xianfeng,213.0,1.0,0.1,1.23
343,Henan,Jinshi,218.0,1.0,0.1,1.23
344,Henan,Huixiang,223.0,1.0,0.1,1.23
345,Henan,Xinwang L-B,228.0,2.0,0.1,1.0
346,Henan,Tuoyuan,23.0,1.0,0.1,1.23
347,Henan,Xinwang H-B,233.0,2.0,0.1,1.23
348,Henan,Datang Tuoketuo Fly Ash,238.0,2.0,0.1,1.0
349,Henan,Mengxi Fly Ash,243.0,2.0,0.1,1.0
350,Henan,Mengxi import,248.0,1.0,0.1,1.0
351,Henan,Qihui H-B,253.0,1.0,0.1,1.0
352,Henan,Qihui L-B,258.0,1.0,0.1,1.0
353,Henan,Jinjiang Lianyungang,263.0,1.0,0.1,1.0
354,Henan,Chalco Lianyungang,268.0,1.0,0.1,1.0
355,Henan,Chalco Shandong L-B,273.0,2.0,0.1,1.0
356,Henan,Chalco Shandong sinter,278.0,1.0,0.1,1.23
357,Henan,Chalco Pingguo,28.0,1.0,0.1,1.23
358,Henan,Chalco Shandong sinter import,283.0,1.0,0.1,1.0
359,Henan,Chiping Xinfa L-B,288.0,2.0,0.1,1.0
360,Henan,Chiping Xinfa H-B,293.0,2.0,0.1,1.0
361,Henan,Lubei,298.0,2.0,0.1,1.0
362,Henan,Nanshan Donghai H-B,303.0,2.0,0.1,1.0
363,Henan,Nanshan Donghai L-B,308.0,2.0,0.1,1.0
364,Henan,Bochuang,313.0,2.0,0.1,1.0
365,Henan,Nanhan,318.0,2.0,0.1,1.0
366,Henan,Weiqiao - Binzhou L-B,323.0,2.0,0.1,1.0
367,Henan,Weiqiao - Binzhou H-B,328.0,2.0,0.1,1.0
368,Henan,Weiqiao-Wudi-Zhanhua L-B,333.0,2.0,0.1,1.0
369,Henan,Weiqiao-Wudi-Zhanhua H-B,338.0,2.0,0.1,1.0
370,Henan,Aokaida,343.0,1.0,0.1,1.23
371,Henan,Chalco Shanxi,353.0,1.0,0.1,1.23
372,Henan,Chalco Shanxi import,358.0,2.0,0.1,1.0
373,Henan,SPIC Shanxi,363.0,1.0,0.1,1.23
374,Henan,SPIC Shanxi import,368.0,2.0,0.1,1.0
375,Henan,Dongxu Tianyuan,373.0,1.0,0.1,1.23
376,Henan,Dongxu Tianyuan import,378.0,1.0,0.1,1.0
377,Henan,East Hope Lingshi,383.0,1.0,0.1,1.23
378,Henan,East Hope Lingshi Import,388.0,1.0,0.1,1.0
