Province,county,china_bx_data2_id,deposit_mine,inventory_000_t,geological_endowment_000_t,inventory_reference,endowment_reference,filter_for_DDM
Henan,Hubin,280,Jinbin Mining Yezhuwa Laomeigou Mine (Coalmine),530.4,0,"????????????--???????--???????????, http://222.143.25.246/datagateway/datasetView.action?datasetVO.serverNodeVO.id=1&datasetVO.lid=7180","????????????--???????--???????????, http://222.143.25.246/datagateway/datasetView.action?datasetVO.serverNodeVO.id=1&datasetVO.lid=7180",
Henan,Jiaxian,281,Dujiagou,2190,2190,CM Research,CM Research,
Henan,Jiaxian,282,Yangzhuang,2710,2710,CM Research,CM Research,
Henan,Jiyuan,283,Xiaye,6335.4,6335.4,"???????????????????????_??,??,??? - ?????, http://www.alu.cn/aluNews/NewsDisplay_936126.html","???????????????????????_??,??,??? - ?????, http://www.alu.cn/aluNews/NewsDisplay_936126.html",
Henan,Lushan,284,not alloactged by mine,-,44861.3,-,"??????????? ??????????? 3??????8??, http://www.henan.gov.cn/jrhn/system/2014/01/21/010447605.shtml",
Henan,Lushan,285,Duandian,1016,5856,BHL2008,CM Research,
Henan,Lushan,286,"Hongyiling Bauxite Mine (""Lushan County Hongyiling Bauxite Mine"") belongs to Huiyuan",490,490,BHL2008,BHL2008,
Henan,Lushan,287,Liangwa,4753,5443,BHL2008,CM Research,
Henan,Lushan,288,Gaojiazhuang,1569.7,1569.7,"[??????]-?????????????, http://www.pds.gov.cn/contents/1399/25875.html","[??????]-?????????????, http://www.pds.gov.cn/contents/1399/25875.html",
Henan,Mianchi,289,Caoyao,24370,185000," ???????, http://www.360doc.com/content/12/1217/10/14148_254522425.shtml","???????????????1.85??, http://www.bmlink.com/news/871629.html",
Henan,Mianchi,290,Chalco Henan Mianchi Bauxite Mine,7434,7434,BHL2008,BHL2008,
Henan,Mianchi,291,South Diwu (East Hope),-,31710,CM Research,CM Research,
Henan,Mianchi,292,East Hope Mianchi County  - Shan County Gaoqiao Villiage Bauxite Mine (Dongfang Xiwang Mianchi County Shan County Gaoqiao Bauxite Mine),8879,8879,BHL2008,BHL2008,
Henan,Mianchi,293,Duancun-Leigou (Chalco Zhongzhou),19030,19488,BHL2008,CM Research - Field Study,
Henan,Mianchi,294,Guanguo,0,6800,-,CM Research,
Henan,Mianchi,295,Huangmen,0,15329,-,CM Research,
Henan,Mianchi,296,Jiajiawa,15342,15342,Henan Bx Report,Henan Bx Report,
Henan,Mianchi,297,Jiaodi,6693,6693,BHL2008,BHL2008,
Henan,Mianchi,298,Lizhuangzhai,10200,101261,"??????????????????, http://www.cgs.gov.cn/xwl/ddyw/201603/t20160309_277361.html","???????????????????, http://ha.news.cn/add/hnnews/2008-07/15/content_13813167.htm, ???????8500???, http://xianhuo.hexun.com/2013-06-02/154763251.html",
Henan,Mianchi,299,Minchi County Bauxitic Clay Calcination Plant,2057,2057,BHL2008,BHL2008,
Henan,Mianchi,300,Shuiquanwa,31532,50600,BHL2008,CM Research,
Henan,Mianchi,301,Xiangyang,0,3000,BHL2005,BHL2005,
Henan,Mianchi,302,Xiguandiao,326,326,BHL2008,BHL2008,
Henan,Mianchi,303,Yixiang,0,26400,-,CM Research,
Henan,Mianchi,304,East Hope Bailang Mine,3431.6,3431.6,"??????????????????????????????????????,??-????, http://www.d1ep.com/hpgg/show.php/itemid-20252/","??????????????????????????????????????,??-????, http://www.d1ep.com/hpgg/show.php/itemid-20252/",
Henan,Mianchi,305,Wangfen,675.2,675.2,"???????????????:2007-2008, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=114827","???????????????:2007-2008, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=114827",
Henan,Mianchi,306,Xiaolongmiao Bauxite Mine,20065,20065,"??????????? ??????????? 3??????8??, http://www.henan.gov.cn/jrhn/system/2014/01/21/010447605.shtml","??????????? ??????????? 3??????8??, http://www.henan.gov.cn/jrhn/system/2014/01/21/010447605.shtml",
Henan,Pingdingshan,307,Liangwa,4490,4490,Henan Bx Report,Henan Bx Report,
Henan,Qinyang,308,CHALCO Zhongzhou Company,1425,1425,BHL2008,BHL2008,
Henan,Qinyang,309,Qinyang City Bojizhang-Hucun Aluminum Clay Mine,5918,5918,BHL2008,BHL2008,
Henan,Qinyang,310,Qinyang City Changping Bauxitic Clay Mine,2987,2987,BHL2008,BHL2008,
Henan,Ruyang,311,Shimengou deposit,0,45,Henan Bx Report,Henan Bx Report,
Henan,Ruzhou,312,Angou,4174,4174,BHL2008,BHL2008,
Henan,Ruzhou,313,Aotou,-,86,-,Henan Bx report,
Henan,Ruzhou,314,Liwan Bx mine,0,576.3,-,http://www.ruzhou.gov.cn/gczxzl/chnl101/54755.htm,
Henan,Ruzhou,315,"Chegou Bauxite Mine (""Chegou"") (""Ruzhou City Chegou Bauxite Mine"")",615,615,BHL2008,BHL2008,
Henan,Ruzhou,316,"Erjie Bauxite Mine (""Jiaocun Township, Ruzhou City Erjie Bauxite Mine"")",539,539,BHL2008,BHL2008,
Henan,Ruzhou,317,Laojuntang deposit,0,469,-,Henan Bx report,
Henan,Ruzhou,318,"Shengjiacun Bauxite Mine (""Ruzhou City Shengjiacun Bauxite Mine"")",868,868,BHL2008,BHL2008,
Henan,Ruzhou,319,Xiaoguogou deposit,0,130,-,Henan Bx report,
Henan,Sanmenxia,320,Qiligou,13849,13849,Henan Bx report,Henan Bx report,
Henan,Sanmenxia,321,Wazhapo,549,549,Henan Bx report,Henan Bx report,
Henan,Shaan,322,Chaiwa / Jinxi,16582,16582,BHL2008,BHL2008,
Henan,Shaan,323,Dongmaling deposit,73,73,BHL2008,BHL2008,
Henan,Shaan,324,"Duanjiamen Bauxite Mine (""Shan County Duanjiamen Bauxite Mine"")",130,130,BHL2008,BHL2008,
Henan,Shaan,325,Dujiagou summary,3327,3327,Henan Bx report,Henan Bx report,
Henan,Shaan,326,"Gold Industrial Company Bauxite Mine (""Shan County Gold Industrial Company Bauxite Mine"")",3387,3387,BHL2008,BHL2008,
Henan,Shaan,327,"Guanyintang / Nanxie (""Shan County Guanyintang Town Nanxie Village Bauxite Mine"")",1210.6,1210.6,"????????????????, http://fanwen.yjbys.com/pifu/173128.html","????????????????, http://fanwen.yjbys.com/pifu/173128.html",
Henan,Shaan,328,Jiandihe summary,1068,1068,CM Research,"???????????????, http://www.doc88.com/p-868119946683.html",
Henan,Shaan,329,"Jinjiang Aotao Mining Co., Ltd. (at Chaiwa Township) (""Shan County Jinjiang Aotao Mining Co., Ltd. (at Chaiwa Township)"")",1565,1565,BHL2008,BHL2008,
Henan,Shaan,330,"Jinpeng (at Chaiwa Township) (""Shan County Jinpeng Ore Product Co., Ltd. (at Chaiwa Township)"")",762,762,BHL2008,BHL2008,
Henan,Shaan,331,Luoyang City Xindi Mining Company,2397,2397,BHL2008,BHL2008,
Henan,Shaan,332,"Shijiazhuang Bauxite Mine (""Shan County Shijiazhuang Bauxite Mine"")",2050,2050,BHL2008,BHL2008,
Henan,Shaan,333,Shishugou deposit,20211,20211,"??????, https://wenku.baidu.com/view/ebc4537ea26925c52cc5bf7a.html","??????, https://wenku.baidu.com/view/ebc4537ea26925c52cc5bf7a.html",
Henan,Shaan,334,Tielugou deposit,50,50,Henan Bx report,Henan Bx report,
Henan,Shaan,335,Wachapo / Wazhapo summary,549,549,BHL2008,BHL2008,
Henan,Shaan,336,"Xiangcaowa Bauxite Mine (""CHALCO Mining Company Shan County Xiangcaowa Bauxite Mine"")",1461,1461,BHL2008,BHL2008,
