refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Alumina Grade
East Hope Mianchi Added LT,Guizhou,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
East Hope Mianchi Added LT,Henan,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
East Hope Mianchi Added LT,Shanxi,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
East Hope Mianchi Added LT,Other,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007599262519020937
Huiyuan Lushan,Guangxi,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huiyuan Lushan,Guizhou,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17335388173742503
Huiyuan Lushan,Shanxi,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huiyuan Lushan,Other,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jingxin,Guangxi,Henan,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jingxin,Guizhou,Henan,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jingxin,Henan,Henan,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1358417240328994
